WL [mn],T
803.48,0.77727
803.8,0.7929
804.12,0.80112
804.44,0.79777
804.76,0.78691
805.08,0.76951
805.4,0.74478
805.72,0.72033
806.04,0.69587
806.36,0.66719
806.68,0.63823
807,0.61428
807.32,0.5878
807.64,0.57489
807.96,0.56995
808.28,0.56253
808.6,0.56047
808.92,0.5654
809.24,0.58299
809.56,0.60265
809.88,0.62065
810.2,0.64822
810.52,0.68074
810.83,0.7166
811.15,0.74302
811.47,0.7748
811.79,0.78752
812.11,0.79372
812.43,0.80301
812.75,0.79809
813.07,0.7878
813.39,0.77668
813.71,0.75544
814.02,0.72686
814.34,0.69826
814.66,0.66369
814.98,0.63426
815.3,0.61083
815.62,0.58603
815.94,0.57134
816.26,0.56169
816.57,0.55885
816.89,0.56215
817.21,0.56427
817.53,0.57743
817.85,0.59022
818.16,0.60885
818.48,0.64075
818.8,0.67166
819.12,0.69878
819.44,0.73109
819.75,0.75504
820.07,0.77583
820.39,0.79198
820.71,0.80889
821.03,0.81004
821.34,0.80358
821.66,0.78824
821.98,0.77098
822.3,0.74219
822.61,0.71592
822.93,0.69283
823.25,0.66368
823.57,0.64039
823.88,0.62151
824.2,0.59328
824.52,0.57443
824.83,0.56716
825.15,0.56073
825.47,0.56374
825.78,0.56724
826.1,0.57266
826.42,0.5906
826.74,0.61654
827.05,0.6412
827.37,0.6646
827.69,0.68894
828,0.7164
828.32,0.75217
828.63,0.77643
828.95,0.79433
829.27,0.81059
829.58,0.81565
829.9,0.81051
830.22,0.8149
830.53,0.79422
830.85,0.76869
831.16,0.73961
831.48,0.70848
831.8,0.67343
832.11,0.64998
832.43,0.62419
832.74,0.60396
833.06,0.58827
833.37,0.57313
833.69,0.56321
834.01,0.55323
834.32,0.556
834.64,0.56489
834.95,0.57165
835.27,0.58389
835.58,0.60947
835.9,0.63656
836.21,0.66407
836.53,0.69683
836.84,0.72059
837.16,0.74505
837.47,0.77755
837.79,0.7964
838.1,0.80657
838.42,0.80838
838.73,0.81088
839.05,0.8061
839.36,0.79338
839.68,0.77811
839.99,0.75309
840.31,0.72836
840.62,0.70197
840.94,0.67732
841.25,0.64579
841.56,0.62024
841.88,0.60477
842.19,0.58012
842.51,0.5683
842.82,0.55915
843.13,0.55463
843.45,0.55629
843.76,0.56373
844.08,0.57231
844.39,0.59009
844.7,0.61046
845.02,0.63379
845.33,0.65277
845.64,0.68276
845.96,0.71403
846.27,0.74009
846.59,0.76041
846.9,0.78079
847.21,0.79391
847.53,0.80948
847.84,0.81207
848.15,0.81678
848.46,0.7998
848.78,0.78211
849.09,0.76224
849.4,0.73428
849.72,0.70606
850.03,0.67919
850.34,0.65207
850.66,0.6343
850.97,0.61083
851.28,0.59026
851.59,0.58051
851.91,0.57091
852.22,0.56745
852.53,0.55856
852.84,0.55742
853.16,0.56359
853.47,0.56929
853.78,0.58536
854.09,0.60099
854.4,0.62217
854.72,0.64884
855.03,0.68205
855.34,0.70753
855.65,0.74037
855.96,0.76591
856.28,0.78481
856.59,0.80518
856.9,0.81538
857.21,0.82245
857.52,0.82388
857.83,0.8144
858.15,0.80595
858.46,0.78175
858.77,0.76659
859.08,0.73601
859.39,0.70734
859.7,0.67871
860.01,0.65624
860.33,0.62713
860.64,0.60519
860.95,0.58385
861.26,0.57573
861.57,0.5691
861.88,0.56147
862.19,0.55239
862.5,0.55438
862.81,0.56357
863.12,0.5682
863.43,0.58469
863.74,0.60557
864.05,0.62865
864.37,0.64855
864.68,0.67303
864.99,0.70666
865.3,0.73091
865.61,0.75866
865.92,0.77705
866.23,0.80153
866.54,0.81521
866.85,0.82412
867.16,0.82121
867.47,0.80504
867.78,0.80031
868.09,0.79169
868.4,0.77129
868.71,0.73906
869.02,0.7206
869.32,0.69228
869.63,0.66506
869.94,0.64653
870.25,0.62497
870.56,0.60714
870.87,0.58882
871.18,0.57326
871.49,0.55913
871.8,0.55274
872.11,0.5559
872.42,0.55281
872.73,0.55907
873.04,0.57817
873.34,0.59918
873.65,0.61347
873.96,0.62508
874.27,0.64477
874.58,0.66995
874.89,0.69279
875.2,0.71998
875.51,0.74783
875.81,0.76775
876.12,0.78632
876.43,0.80687
876.74,0.81398
877.05,0.83217
877.36,0.83099
877.66,0.8218
877.97,0.80141
878.28,0.79219
878.59,0.76194
878.9,0.74415
879.2,0.71875
879.51,0.70038
879.82,0.67636
880.13,0.64524
880.43,0.61873
880.74,0.59582
881.05,0.58793
881.36,0.57729
881.66,0.56247
881.97,0.56332
882.28,0.55013
882.59,0.55682
882.89,0.56583
883.2,0.56686
883.51,0.58264
883.81,0.59686
884.12,0.61807
884.43,0.63628
884.74,0.65854
885.04,0.68699
885.35,0.70837
885.66,0.72998
885.96,0.75177
886.27,0.76812
886.58,0.7926
886.88,0.81092
887.19,0.8223
887.5,0.81752
887.8,0.82079
888.11,0.81635
888.41,0.79797
888.72,0.79693
889.03,0.785
889.33,0.75276
889.64,0.72916
889.94,0.69833
890.25,0.67944
890.56,0.64897
890.86,0.62815
891.17,0.61359
891.47,0.59083
891.78,0.57542
892.08,0.56483
892.39,0.55469
892.7,0.55744
893,0.55524
893.31,0.55697
893.61,0.57314
893.92,0.57489
894.22,0.58554
894.53,0.60613
894.83,0.62517
895.14,0.64704
895.44,0.66776
895.75,0.6971
896.05,0.71243
896.36,0.73826
896.66,0.75411
896.97,0.7743
897.27,0.78877
897.58,0.81509
897.88,0.80994
898.18,0.8037
898.49,0.81626
898.79,0.81209
899.1,0.79718
899.4,0.78163
899.71,0.76288
900.01,0.74985
900.31,0.7272
900.62,0.70154
900.92,0.6835
901.23,0.66491
901.53,0.63207
901.83,0.61374
902.14,0.60455
902.44,0.59265
902.75,0.57799
903.05,0.57792
903.35,0.56378
903.66,0.55364
903.96,0.54512
904.26,0.56183
904.57,0.57172
904.87,0.58678
905.17,0.59123
905.48,0.606
905.78,0.6326
906.08,0.65616
906.39,0.68269
906.69,0.69669
906.99,0.72154
907.29,0.73741
907.6,0.75725
907.9,0.79013
908.2,0.80725
908.51,0.82147
908.81,0.81781
909.11,0.822
909.41,0.82287
909.72,0.81777
910.02,0.79424
910.32,0.77992
910.62,0.76921
910.92,0.76057
911.23,0.72714
911.53,0.71861
911.83,0.69503
912.13,0.67795
912.43,0.66027
912.74,0.62793
913.04,0.61328
913.34,0.60754
913.64,0.58996
913.94,0.57713
914.24,0.56997
914.55,0.56498
914.85,0.56785
